Comment,Description,Designator,Footprint,Quantity
,,,,
330n,Ceramic capacitor (20mm pitch),C1,CAP,1
100n,Ceramic capacitor (20mm pitch),C2,CAP,1
2xTERM,2-pin wire connector,"P1, P2, P3, P4, P5, P6, P7, P8, P10",2xTERM,9
3xTERM,3-pin wire connector,P9,3xTERM,1
330,Resistor (horizontal),"R1, R2, R3, R4",RES2,4
10k,Resistor (horizontal),"R5, R6, R7, R8, R10",RES2,5
1k,Resistor (horizontal),R9,RES2,1
STP16NF06L,N-Channel 60V Power MOSFET,STP1,STP16NF06L,1
ATmega328P,Atmel ATmega328P IC,U1,ATmega328P,1
Z6353,Z6353 SD card reader,U2,Z6353,1
RFM96W,Adafruit RFM96W LoRa radio,U3,RFM96W,1
DS3231,DS3231 real-time clock,U4,DS3231,1
L7805,L7805 5V voltage regulator,VR1,L7805,1
X16MHz,16MHz crystal oscillator,XTAL1,X16MHz,1
